,League,Team,Country,Rating,Age,Years,AAV
Dona Barile,China,Wuhan,China,90.56915077036989,5,2,30.222222222222225
Anna Martinez,Germany,Berlin,Italy,90.13335101546902,6,1,70.38888888888891
Marianne Caylor,Indonesia,Tasikmalaya,Indonesia,88.67307540984676,6,1,7.0
Joan Tuck,China,Chongqing,China,88.5998577573921,6,1,91.46666666666665
Gerald Bell,United Kingdom,Sheffield,United Kingdom,88.15311004300533,6,1,23.85
Jennifer Nix,Japan,Tokyo,Germany,87.98428223962028,6,2,161.48148148148152
Brittany Garris,India,Bangalore,India,87.72440039141226,6,1,58.5
Mark Weiler,United States,New York,United States,87.62237101262338,7,3,86.88888888888886
Crystal Malveaux,Germany,Hamburg,Italy,87.3498550484507,7,3,78.86666666666667
Michael Dodd,India,Hyderabad,Indonesia,86.68406202959564,5,2,32.4
Jamie Killian,Japan,Tokyo,Pakistan,86.6754361769844,7,3,80.74074074074076
Raymond Mcclelland,Ireland,Dublin,India,86.56947101219978,7,3,77.0
Michael Vogelgesang,Thailand,Bangkok,Canada,86.0618740910675,6,1,64.16666666666667
Cathy Howe,Mexico,Mexico City,Japan,85.86704486068058,6,1,53.77777777777777
Miguel Ellis,France,Marseille,Japan,85.73458992813367,7,3,74.8
Robert Brown,Saudi Arabia,Riyadh,France,85.3423983008921,5,2,66.5
Lowell Mone,Brazil,Sao Paulo,Australia,85.272509739805,7,2,89.21666666666665
Kelly Morgan,Russia,Moscow,Indonesia,84.92968423871389,6,1,38.71111111111111
Leon Norris,China,Beijing,China,84.69299242147486,7,3,35.73333333333333
Richard Johnson,France,Lyon,Italy,84.60737890540435,5,2,48.53333333333333
Jose Deal,Germany,Hamburg,Spain,84.51668518673476,7,3,52.57777777777778
Erik Shaver,China,Beijing,Bangladesh,84.43607943164109,5,2,53.6
Stephen Dinger,Turkey,Istanbul,Argentina,84.37909147520536,5,2,68.85
Casey Tsang,Bangladesh,Dhaka,United Kingdom,84.30684599532762,6,1,46.8
Donald Johnson,Russia,Moscow,Turkey,84.24559599866836,7,3,58.06666666666666
Theresa Testani,China,Wuhan,China,84.14594109062035,6,1,15.86666666666666
Kirsten Banick,Ecuador,Quito,Ecuador,84.11434114702895,6,1,12.5
Lyle Canterbury,Japan,Yokohama,Norway,84.01670194999102,7,3,63.699999999999996
Sarah Larson,India,Mumbai,Germany,84.00869938895529,6,1,37.68888888888887
Richard Fawver,Indonesia,Jakarta,Italy,83.86045953681717,7,2,66.66666666666667
Sonja Hilton,France,Paris,Israel,83.67022364001019,6,2,108.03333333333335
Jason Abrams,Norway,Bergen,United Kingdom,83.31164181580331,6,1,13.2
Ryan Puga,Russia,Moscow,France,83.1503611933609,7,2,93.80000000000001
Ethel Dix,Spain,Barcelona,Japan,82.99620949691956,6,1,44.0
Michele Furman,Ireland,Dublin,Switzerland,82.76630342907741,7,3,51.333333333333336
Janet Fletcher,Singapore,Singapore,France,82.63760695263592,6,1,57.333333333333336
Kaley Sturdivant,Japan,Kawasaki,Japan,82.44853331242459,5,2,28.0
Ruth Lamar,Egypt,Cairo,Egypt,82.01873438960251,6,1,15.466666666666669
Joshua Williams,Brazil,Sao Paulo,Spain,82.00636890257628,7,3,44.608333333333334
Anna Pinard,France,Rennes,France,81.98709244976776,5,1,18.4
Michael Cannata,Australia,Brisbane,Australia,81.89635310614658,5,2,24.03333333333333
James Sunderland,China,Changsha,China,81.89611316839338,5,2,24.5
David Pita,United Kingdom,Birmingham,Japan,81.68761288862554,7,3,48.638888888888886
Kimberly Spooner,Indonesia,Malang,Italy,81.63776935964941,5,1,8.55
Jill Lambdin,Germany,Cologne,Germany,81.47999234222647,5,2,16.049999999999997
Shelley Lebowitz,Indonesia,Jakarta,Italy,81.45215835432106,7,3,33.33333333333334
John Riles,China,Zhengzhou,China,81.34645223821478,5,2,38.5
Gary Pereira,Brazil,Belo Horizonte,Brazil,81.29553451564338,5,2,20.53333333333333
Alvin Hahn,Hong Kong,Hong Kong,Czech Republic,81.26885543784395,5,2,50.0
Maxine Hawkins,Austria,Graz,United Arab Emirates,81.21063869537969,6,1,12.799999999999997
Jesus Jimerez,China,Suzhou,South Korea,81.11067390324483,6,1,8.799999999999997
Steven Freyermuth,Mexico,Mexico City,United States,81.10002309949377,5,2,53.777777777777786
Mark Watson,Japan,Sapporo,France,81.08421606667305,7,3,32.083333333333336
Bobbie Burkhart,Sweden,Gothenburg,Israel,80.98527533638352,5,2,26.1
Yvette Hogan,India,Pune,France,80.92740578235363,5,2,23.11111111111111
Charles Boatwright,Israel,Haifa,Israel,80.86680795812337,6,1,9.0
Autumn Harland,United Kingdom,London,Switzerland,80.84777213036661,8,1,349.39104938271606
Linda Pasco,Saudi Arabia,Jeddah,Norway,80.81999820398627,5,2,28.7
Alberto Schroeder,Saudi Arabia,Riyadh,Japan,80.81379524921905,5,2,33.25
Jon Bennett,South Korea,Bucheon,South Korea,80.59120357684044,6,1,9.333333333333334
Christopher Meres,Russia,Saint Petersburg,Russia,80.555159243502,5,2,15.333333333333332
Catherine Simmons,Australia,Perth,India,80.55093731739986,5,2,11.900000000000002
Vernon Freeman,Japan,Sendai,Japan,80.479512678353,5,2,20.06666666666667
Michael Williams,Canada,Montreal,Canada,80.29007425637319,5,1,44.0
